#At time x process y state arr w toal z remain y wait k
At time 31 process 5 stopped arr 8 total 20 remain 15 wait 18
At time 31 process 6 resumed arr 8 total 5 remain 1 wait 19
At time 32 process 6 finished arr 8 total 5 remain 0 wait 19 TA 24 WTA 4.80
At time 32 process 2 resumed arr 5 total 22 remain 16 wait 21
At time 33 process 2 stopped arr 5 total 22 remain 15 wait 21
At time 33 process 5 resumed arr 8 total 20 remain 15 wait 20
At time 34 process 5 stopped arr 8 total 20 remain 14 wait 20
At time 34 process 2 resumed arr 5 total 22 remain 15 wait 22
At time 35 process 2 stopped arr 5 total 22 remain 14 wait 22
At time 35 process 5 resumed arr 8 total 20 remain 14 wait 21
At time 36 process 5 stopped arr 8 total 20 remain 13 wait 21
At time 36 process 2 resumed arr 5 total 22 remain 14 wait 23
At time 37 process 2 stopped arr 5 total 22 remain 13 wait 23
At time 37 process 5 resumed arr 8 total 20 remain 13 wait 22
At time 38 process 5 stopped arr 8 total 20 remain 12 wait 22
At time 38 process 2 resumed arr 5 total 22 remain 13 wait 24
At time 39 process 2 stopped arr 5 total 22 remain 12 wait 24
At time 39 process 5 resumed arr 8 total 20 remain 12 wait 23
At time 40 process 5 stopped arr 8 total 20 remain 11 wait 23
At time 40 process 2 resumed arr 5 total 22 remain 12 wait 25
At time 41 process 2 stopped arr 5 total 22 remain 11 wait 25
At time 41 process 5 resumed arr 8 total 20 remain 11 wait 24
At time 42 process 5 stopped arr 8 total 20 remain 10 wait 24
At time 42 process 2 resumed arr 5 total 22 remain 11 wait 26
At time 43 process 2 stopped arr 5 total 22 remain 10 wait 26
At time 43 process 5 resumed arr 8 total 20 remain 10 wait 25
At time 44 process 5 stopped arr 8 total 20 remain 9 wait 25
At time 44 process 2 resumed arr 5 total 22 remain 10 wait 27
At time 45 process 2 stopped arr 5 total 22 remain 9 wait 27
At time 45 process 5 resumed arr 8 total 20 remain 9 wait 26
At time 46 process 5 stopped arr 8 total 20 remain 8 wait 26
At time 46 process 2 resumed arr 5 total 22 remain 9 wait 28
At time 47 process 2 stopped arr 5 total 22 remain 8 wait 28
At time 47 process 5 resumed arr 8 total 20 remain 8 wait 27
At time 48 process 5 stopped arr 8 total 20 remain 7 wait 27
At time 48 process 2 resumed arr 5 total 22 remain 8 wait 29
At time 49 process 2 stopped arr 5 total 22 remain 7 wait 29
At time 49 process 5 resumed arr 8 total 20 remain 7 wait 28
At time 50 process 5 stopped arr 8 total 20 remain 6 wait 28
At time 50 process 2 resumed arr 5 total 22 remain 7 wait 30
At time 51 process 2 stopped arr 5 total 22 remain 6 wait 30
At time 51 process 5 resumed arr 8 total 20 remain 6 wait 29
At time 52 process 5 stopped arr 8 total 20 remain 5 wait 29
At time 52 process 2 resumed arr 5 total 22 remain 6 wait 31
At time 53 process 2 stopped arr 5 total 22 remain 5 wait 31
At time 53 process 5 resumed arr 8 total 20 remain 5 wait 30
At time 54 process 5 stopped arr 8 total 20 remain 4 wait 30
At time 54 process 2 resumed arr 5 total 22 remain 5 wait 32
At time 55 process 2 stopped arr 5 total 22 remain 4 wait 32
At time 55 process 5 resumed arr 8 total 20 remain 4 wait 31
At time 56 process 5 stopped arr 8 total 20 remain 3 wait 31
At time 56 process 2 resumed arr 5 total 22 remain 4 wait 33
At time 57 process 2 stopped arr 5 total 22 remain 3 wait 33
At time 57 process 5 resumed arr 8 total 20 remain 3 wait 32
At time 58 process 5 stopped arr 8 total 20 remain 2 wait 32
At time 58 process 2 resumed arr 5 total 22 remain 3 wait 34
At time 59 process 2 stopped arr 5 total 22 remain 2 wait 34
At time 59 process 5 resumed arr 8 total 20 remain 2 wait 33
At time 60 process 5 stopped arr 8 total 20 remain 1 wait 33
At time 60 process 2 resumed arr 5 total 22 remain 2 wait 35
At time 61 process 2 stopped arr 5 total 22 remain 1 wait 35
At time 61 process 5 resumed arr 8 total 20 remain 1 wait 34
At time 62 process 5 finished arr 8 total 20 remain 0 wait 34 TA 54 WTA 2.70
At time 62 process 2 resumed arr 5 total 22 remain 1 wait 36
At time 63 process 2 finished arr 5 total 22 remain 0 wait 36 TA 58 WTA 2.64
